geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
4624,-23.6290803,-46.66890683,sao paulo,SP
4607,-23.62099492,-46.67398141,sao paulo,SP
4674,-23.6632846,-46.68359334,sao paulo,SP
4647,-23.64636485,-46.6753063,sao paulo,SP
4674,-23.66357579,-46.68928033,sao paulo,SP
4601,-23.61671392,-46.67766305,sao paulo,SP
4601,-23.6177667,-46.67864144,sao paulo,SP
4602,-23.62681304,-46.68571345,sao paulo,SP
4603,-23.61740548,-46.67538417,sao paulo,SP
4603,-23.61544024,-46.67355337,sao paulo,SP
4660,-23.6610874,-46.6803379,sao paulo,SP
4674,-23.6633621,-46.68204811,sao paulo,SP
4617,-23.62772799,-46.66276047,sao paulo,SP
4652,-23.66166782,-46.66905503,sao paulo,SP
4614,-23.62150887,-46.66744068,sao paulo,SP
4617,-23.62159501,-46.67243512,são paulo,SP
4685,-23.6609426,-46.69442725,sao paulo,SP
4662,-23.65430232,-46.69065606,sao paulo,SP
4601,-23.61553128,-46.67808225,sao paulo,SP
4632,-23.63238558,-46.66695635,são paulo,SP
4619,-23.61876475,-46.68144199,sao paulo,SP
4619,-23.62343661,-46.67547682,sao paulo,SP
4648,-23.65071647,-46.67626137,sao paulo,SP
4609,-23.61829377,-46.66840125,sao paulo,SP
4632,-23.63352319,-46.66509978,sao paulo,SP
4679,-23.6749956,-46.68198544,sao paulo,SP
4639,-23.63803133,-46.68399487,sao paulo,SP
4675,-23.67141533,-46.69857492,sao paulo,SP
4614,-23.61673946,-46.67339784,sao paulo,SP
4689,-23.67169643,-46.68994215,sao paulo,SP
4634,-23.63918312,-46.66579872,sao paulo,SP
4660,-23.66029709,-46.67951142,sao paulo,SP
4664,-23.65896168,-46.68439136,sao paulo,SP
4642,-23.63903189,-46.6879501,sao paulo,SP
4673,-23.66426138,-46.69682936,sao paulo,SP
4677,-23.66510168,-46.68171015,sao paulo,SP
4671,-23.65894373,-46.69036437,sao paulo,SP
4652,-23.66109436,-46.66834534,sao paulo,SP
4602,-23.61427534,-46.67387447,sao paulo,SP
4635,-23.64136514,-46.67133488,são paulo,SP
4607,-23.62125681,-46.67422238,sao paulo,SP
4650,-23.65818694,-46.67707722,são paulo,SP
4662,-23.65434377,-46.6908542,sao paulo,SP
4618,-23.624766,-46.67024475,sao paulo,SP
4678,-23.66553228,-46.67940096,são paulo,SP
4679,-23.67308492,-46.68636916,sao paulo,SP
4634,-23.64035571,-46.67107269,são paulo,SP
4664,-23.65710888,-46.68292916,são paulo,SP
4612,-23.61877346,-46.66315191,são paulo,SP
4634,-23.63918312,-46.66579872,sao paulo,SP
4615,-23.61968994,-46.67137507,sao paulo,SP
4612,-23.61934161,-46.66361063,sao paulo,SP
4662,-23.65430232,-46.69065606,sao paulo,SP
4674,-23.66449376,-46.68774187,sao paulo,SP
4671,-23.65693319,-46.69232936,sao paulo,SP
4625,-23.62790502,-46.66532537,sao paulo,SP
4601,-23.62464495,-46.68509842,sao paulo,SP
4675,-23.66451778,-46.69322803,sao paulo,SP
4671,-23.65914536,-46.69255304,sao paulo,SP
4679,-23.67071378,-46.6799746,sao paulo,SP
4664,-23.65710888,-46.68292916,sao paulo,SP
4612,-23.61918365,-46.66305069,são paulo,SP
4693,-23.6801782,-46.69191023,sao paulo,SP
4618,-23.62153464,-46.67612788,são paulo,SP
4661,-23.68615021,-46.69345842,sao paulo,SP
4601,-23.6124455,-46.67666509,sao paulo,SP
4631,-23.63160893,-46.66480805,sao paulo,SP
4671,-23.65890236,-46.69255004,sao paulo,SP
4618,-23.624766,-46.67024475,sao paulo,SP
4664,-23.65671117,-46.68261976,sao paulo,SP
4675,-23.67338838,-46.69713618,sao paulo,SP
4616,-23.61526963,-46.67863399,sao paulo,SP
4686,-23.66428186,-46.69108104,sao paulo,SP
4648,-23.65841365,-46.67328027,sao paulo,SP
4675,-23.66106671,-46.68641544,são paulo,SP
4632,-23.63148598,-46.66379024,sao paulo,SP
4671,-23.65853927,-46.69473232,sao paulo,SP
4615,-23.62397328,-46.6661908,sao paulo,SP
4696,-23.66897161,-46.70251155,sao paulo,SP
4630,-23.63188136,-46.66281888,sao paulo,SP
4674,-23.66449376,-46.68774187,sao paulo,SP
4602,-23.6235707,-46.68260227,sao paulo,SP
4602,-23.6235707,-46.68260227,sao paulo,SP
4652,-23.66073373,-46.66550055,são paulo,SP
4615,-23.62397328,-46.6661908,são paulo,SP
4686,-23.66413335,-46.69114934,sao paulo,SP
4613,-23.61269351,-46.67502706,sao paulo,SP
4662,-23.65434377,-46.6908542,sao paulo,SP
4605,-23.62172099,-46.67776065,sao paulo,SP
4621,-23.63020776,-46.67595454,sao paulo,SP
4674,-23.66456152,-46.68849007,sao paulo,SP
4653,-23.66499385,-46.67505129,sao paulo,SP
4652,-23.661399,-46.66699666,sao paulo,SP
4672,-23.66172426,-46.69937853,sao paulo,SP
4661,-23.66379745,-46.67859606,sao paulo,SP
4650,-23.6578412,-46.67688803,sao paulo,SP
4655,-23.66222582,-46.671409,são paulo,SP
4627,-23.6219857,-46.66194396,são paulo,SP
4679,-23.67713997,-46.68382073,sao paulo,SP
4634,-23.63697933,-46.66986497,sao paulo,SP
4619,-23.61914007,-46.68068649,são paulo,SP
4607,-23.62125681,-46.67422238,são paulo,SP
4635,-23.64100047,-46.66716518,sao paulo,SP
4657,-23.66686982,-46.67531812,sao paulo,SP
4686,-23.67275251,-46.6870518,sao paulo,SP
4675,-23.6664254,-46.69445002,sao paulo,SP
4624,-23.62633491,-46.66882565,sao paulo,SP
4617,-23.62758059,-46.66328045,sao paulo,SP
4617,-23.62159501,-46.67243512,sao paulo,SP
4689,-23.66918503,-46.69161769,sao paulo,SP
4612,-23.62156055,-46.6624042,são paulo,SP
4615,-23.62719633,-46.66341424,sao paulo,SP
4671,-23.65894373,-46.69036437,sao paulo,SP
4635,-23.64202143,-46.6701583,sao paulo,SP
4619,-23.62448137,-46.66985965,sao paulo,SP
4645,-23.64957553,-46.68067944,sao paulo,SP
4634,-23.6375762,-46.66914213,sao paulo,SP
4637,-23.63163529,-46.68156379,sao paulo,SP
4636,-23.64221488,-46.67403192,sao paulo,SP
4625,-23.62838586,-46.6640269,sao paulo,SP
4673,-23.66426989,-46.69540079,sao paulo,SP
4663,-23.65402341,-46.68201054,sao paulo,SP
4612,-23.61877983,-46.66418011,sao paulo,SP
4602,-23.62647697,-46.68538352,sao paulo,SP
4625,-23.62669076,-46.66621513,sao paulo,SP
4675,-23.66106671,-46.68641544,sao paulo,SP
4696,-23.66897161,-46.70251155,sao paulo,SP
4636,-23.63774258,-46.67730052,sao paulo,SP
4661,-23.66379745,-46.67859606,são paulo,SP
4624,-23.6290803,-46.66890683,são paulo,SP
4690,-23.6670019,-46.69313175,sao paulo,SP
4625,-23.62808888,-46.66473974,sao paulo,SP
4657,-23.66686982,-46.67531812,sao paulo,SP
4661,-23.68615021,-46.69345842,sao paulo,SP
4634,-23.63918312,-46.66579872,sao paulo,SP
4632,-23.63365467,-46.66503902,são paulo,SP
4696,-23.66897161,-46.70251155,são paulo,SP
