geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
63475,-5.890847388,-38.62444808,jaguaribe,CE
63400,-6.603105549,-39.05871643,cedro,CE
63430,-6.406738703,-38.86145141,ico,CE
63470,-6.032786896,-38.34966982,erere,CE
63475,-5.907021611,-38.62269269,jaguaribe,CE
63470,-6.032446299,-38.34659733,erere,CE
63460,-6.050648038,-38.46417029,pereiro,CE
63475,-5.894072194,-38.6241451,jaguaribe,CE
63430,-6.399314494,-38.8585178,ico,CE
63480,-5.607781049,-38.76561379,jaguaretama,CE
63475,-5.890584787,-38.62156784,jaguaribe,CE
63430,-6.405118062,-38.8659461,ico,CE
63460,-6.046782351,-38.46143125,pereiro,CE
63460,-6.04703623,-38.46138811,pereiro,CE
63430,-6.40301047,-38.8606521,ico,CE
63475,-6.015026779,-38.67741397,jaguaribe,CE
63430,-6.397725217,-38.85605003,icó,CE
63400,-6.601172229,-39.06479462,cedro,CE
63400,-6.594567652,-39.06733096,cedro,CE
63430,-6.41322288,-38.86587026,ico,CE
63475,-5.893149756,-38.62404834,jaguaribe,CE
63400,-6.608575038,-39.0563215,cedro,CE
63430,-6.391249102,-38.85384923,ico,CE
63430,-6.394458,-38.8333835,ico,CE
63540,-6.791794186,-39.30021892,varzea alegre,CE
63500,-6.360208523,-39.29484034,iguatu,CE
63540,-6.795828701,-39.30314797,varzea alegre,CE
63570,-6.774548977,-39.98777407,antonina do norte,CE
63507,-6.356700554,-39.31148255,iguatu,CE
63540,-6.792480827,-39.30095159,varzea alegre,CE
63508,-6.348510689,-39.30922437,iguatu,CE
63560,-6.095436548,-39.45202846,acopiara,CE
63502,-6.372217218,-39.29746252,iguatu,CE
63560,-6.095436548,-39.45202846,acopiara,CE
63560,-6.095724396,-39.45598199,acopiara,CE
63560,-6.093227886,-39.45209383,acopiara,CE
63504,-6.371042415,-39.30137615,iguatu,CE
63540,-6.785780476,-39.29166052,varzea alegre,CE
63500,-6.352978757,-39.29632336,iguatu,CE
63501,-6.356789446,-39.28921596,iguatu,CE
63504,-6.371042415,-39.30141242,iguatu,CE
63515,-6.252816381,-39.19933767,quixelô,CE
63501,-6.351683492,-39.28704405,iguatu,CE
63500,-6.350695931,-39.29536846,iguatu,CE
63520,-6.247283429,-38.91596634,oros,CE
63560,-6.093754659,-39.45931388,acopiara,CE
63595,-6.134856232,-39.87751391,catarina,CE
63560,-6.091002437,-39.44912144,acopiara,CE
63530,-6.538167754,-39.49550692,carius,CE
63560,-6.093121573,-39.45143067,acopiara,CE
63502,-6.413145,-39.32190318,iguatu,CE
63560,-6.089336583,-39.45374704,acopiara,CE
63500,-6.352889434,-39.29633002,iguatu,CE
63500,-6.357789033,-39.2968218,iguatu,CE
63504,-6.344747666,-39.31731071,iguatu,CE
63500,-6.361054992,-39.29607129,iguatu,CE
63530,-6.539276016,-39.49649935,carius,CE
63500,-6.349757562,-39.29848882,iguatu,CE
63508,-6.348671477,-39.30910716,iguatu,CE
63590,-6.519218113,-39.76744358,saboeiro,CE
63540,-6.785198616,-39.29770453,varzea alegre,CE
63504,-6.369950401,-39.30101832,iguatu,CE
63500,-6.350748987,-39.29594094,iguatu,CE
63540,-6.785780476,-39.29166052,várzea alegre,CE
63575,-6.681411747,-40.08347562,aiuaba,CE
63560,-6.095436548,-39.45202846,acopiara,CE
63500,-6.358877142,-39.29243224,iguatu,CE
