geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
30310,-19.9415653,-43.9323801,belo horizonte,MG
30380,-19.94543774,-43.95304917,belo horizonte,MG
30390,-19.98739693,-43.96564243,belo horizonte,MG
30320,-19.95837032,-43.93810006,belo horizonte,MG
30315,-19.95622467,-43.93385713,belo horizonte,MG
30360,-19.95377533,-43.94734988,belo horizonte,MG
30315,-19.95918577,-43.93021167,belo horizonte,MG
30380,-19.9475034,-43.95325532,belo horizonte,MG
30330,-19.94212507,-43.9372142,belo horizonte,MG
30360,-19.95377533,-43.94734988,belo horizonte,MG
30315,-19.95678034,-43.93510172,belo horizonte,MG
30380,-19.93562761,-43.9474895,belo horizonte,MG
30310,-19.95324944,-43.92798659,belo horizonte,MG
30315,-19.9585448,-43.93080768,belo horizonte,MG
30360,-19.95700597,-43.95018275,belo horizonte,MG
30380,-19.95309208,-43.95130703,belo horizonte,MG
30315,-19.95613716,-43.93324472,belo horizonte,MG
30360,-19.96951382,-43.95062589,belo horizonte,MG
30310,-19.95155808,-43.92867827,belo horizonte,MG
30315,-19.95488671,-43.93287034,belo horizonte,MG
30380,-19.95065063,-43.95756613,belo horizonte,MG
30380,-19.95092824,-43.95589339,belo horizonte,MG
30320,-19.9580676,-43.93671902,belo horizonte,MG
30380,-19.95179956,-43.95006139,belo horizonte,MG
30350,-19.94589445,-43.94832253,belo horizonte,MG
30310,-19.95130409,-43.92297576,belo horizonte,MG
30360,-19.97285853,-43.94904579,belo horizonte,MG
30350,-19.94557193,-43.95784612,belo horizonte,MG
30315,-19.95449407,-43.92968154,belo horizonte,MG
30350,-19.94906265,-43.9458072,belo horizonte,MG
30310,-19.95299956,-43.93041501,belo horizonte,MG
30360,-19.95559655,-43.95125292,belo horizonte,MG
30380,-19.94452592,-43.95066895,belo horizonte,MG
30350,-19.93572777,-43.94659866,belo horizonte,MG
30320,-19.97840548,-43.94494318,belo horizonte,MG
30320,-19.9595461,-43.93549305,belo horizonte,MG
30310,-19.94932812,-43.92496127,belo horizonte,MG
30380,-19.94510196,-43.94931997,belo horizonte,MG
30320,-19.95542192,-43.93617073,belo horizonte,MG
30310,-19.94473658,-43.92554457,belo horizonte,MG
30350,-19.96484014,-43.95090119,belo horizonte,MG
30320,-19.95743593,-43.93907263,belo horizonte,MG
30380,-19.94622391,-43.95313867,belo horizonte,MG
30330,-19.95130266,-43.9386862,belo horizonte,MG
30380,-19.94953055,-43.95554772,belo horizonte,MG
30310,-19.94139575,-43.92676116,belo horizonte,MG
30350,-19.95071172,-43.94408932,belo horizonte,MG
30380,-19.94183353,-43.95172865,belo horizonte,MG
30350,-19.94907427,-43.94338803,belo horizonte,MG
30360,-19.9625914,-43.94872092,belo horizonte,MG
30330,-19.95125802,-43.93853582,belo horizonte,MG
30350,-19.94592048,-43.94590301,belo horizonte,MG
30310,-19.95088729,-43.92304301,belo horizonte,MG
30380,-19.94791559,-43.95258324,belo horizonte,MG
30350,-19.94237654,-43.94699092,belo horizonte,MG
30380,-19.94560462,-43.95222646,belo horizonte,MG
30310,-19.9416846,-43.92911404,belo horizonte,MG
30320,-19.97326103,-43.94023262,belo horizonte,MG
30380,-19.95119905,-43.94836875,belo horizonte,MG
30350,-19.935612,-43.946622,belo horizonte,MG
30380,-19.94676548,-43.95772144,belo horizonte,MG
30320,-19.97453887,-43.94143115,belo horizonte,MG
30390,-19.99852112,-43.96561687,belo horizonte,MG
30380,-19.95270877,-43.94854503,belo horizonte,MG
30380,-19.93581267,-43.94868489,belo horizonte,MG
30330,-19.94730377,-43.93855906,belo horizonte,MG
30320,-19.9747418,-43.94203126,belo horizonte,MG
30360,-19.96512394,-43.94577471,belo horizonte,MG
30310,-19.94750898,-43.92355912,belo horizonte,MG
30350,-19.93962002,-43.94299181,belo horizonte,MG
30380,-19.94493278,-43.95322374,belo horizonte,MG
30320,-19.95752357,-43.94023306,belo horizonte,MG
30315,-19.95073902,-43.93229485,belo horizonte,MG
30330,-19.94152938,-43.93790963,belo horizonte,MG
30380,-19.94570852,-43.94992092,belo horizonte,MG
30330,-19.95364286,-43.94021109,belo horizonte,MG
30310,-19.94541534,-43.92390812,belo horizonte,MG
30310,-19.94628009,-43.93222306,belo horizonte,MG
30330,-19.9426444,-43.93959212,belo horizonte,MG
30310,-19.95081799,-43.92836601,belo horizonte,MG
30315,-19.95237005,-43.93342683,belo horizonte,MG
30315,-19.95698211,-43.92717542,belo horizonte,MG
30320,-19.95674045,-43.93871518,belo horizonte,MG
30380,-19.95356499,-43.94965719,belo horizonte,MG
30310,-19.95160226,-43.92312939,belo horizonte,MG
30310,-19.94421244,-43.92750863,belo horizonte,MG
30315,-19.95507806,-43.93190677,belo horizonte,MG
30330,-19.94548681,-43.93568371,belo horizonte,MG
30310,-19.94785974,-43.93256001,belo horizonte,MG
30320,-19.9747418,-43.94203126,belo horizonte,MG
30310,-19.94929481,-43.93116884,belo horizonte,MG
30380,-19.95119905,-43.94836875,belo horizonte,MG
30380,-19.95108233,-43.95575969,belo horizonte,MG
30310,-19.94775054,-43.9213688,belo horizonte,MG
30310,-19.94281606,-43.93265303,belo horizonte,MG
30390,-19.98961246,-43.96287179,belo horizonte,MG
30380,-19.94371056,-43.9547751,belo horizonte,MG
30315,-19.95467463,-43.93483857,belo horizonte,MG
30330,-19.95370265,-43.94020527,belo horizonte,MG
30310,-19.9509064,-43.92490146,belo horizonte,MG
30315,-19.9528648,-43.93143811,belo horizonte,MG
30310,-19.94844313,-43.92124871,belo horizonte,MG
30310,-19.94044154,-43.93101422,belo horizonte,MG
30350,-19.95938457,-43.95579068,belo horizonte,MG
30310,-19.94473658,-43.92554457,belo horizonte,MG
30310,-19.94360161,-43.92915854,belo horizonte,MG
30330,-19.94227098,-43.93888424,belo horizonte,MG
30320,-19.95920215,-43.9375845,belo horizonte,MG
30350,-19.94616034,-43.94605176,belo horizonte,MG
30320,-19.97178037,-43.93948706,belo horizonte,MG
30320,-19.97589305,-43.94294837,belo horizonte,MG
30380,-19.94157856,-43.95040332,belo horizonte,MG
30380,-19.95104857,-43.95991514,belo horizonte,MG
30320,-19.95920215,-43.9375845,belo horizonte,MG
30330,-19.94188201,-43.94070353,belo horizonte,MG
30350,-19.94666553,-43.94459153,belo horizonte,MG
30380,-19.94811807,-43.95706706,belo horizonte,MG
30380,-19.94701605,-43.94878854,belo horizonte,MG
30350,-19.94237947,-43.94767042,belo horizonte,MG
30350,-19.93650634,-43.94605262,belo horizonte,MG
30360,-19.97155402,-43.95011046,belo horizonte,MG
30350,-19.96305863,-43.95461373,belo horizonte,MG
