geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
81200,-25.43380286,-49.33485081,curitiba,PR
81280,-25.44147369,-49.35291568,curitiba,PR
81270,-25.45544084,-49.36046239,curitiba,PR
81240,-25.4762268,-49.33792144,curitiba,PR
81240,-25.47722831,-49.33521706,curitiba,PR
81260,-25.48556374,-49.35140951,curitiba,PR
81270,-25.45132145,-49.34446154,curitiba,PR
81230,-25.45875541,-49.32371076,curitiba,PR
81270,-25.44858107,-49.35071691,curitiba,PR
81270,-25.46843579,-49.34732058,curitiba,PR
81210,-25.43885448,-49.32412317,curitiba,PR
81270,-25.45539362,-49.35331659,curitiba,PR
81250,-25.47994049,-49.34422375,curitiba,PR
81230,-25.45741575,-49.33545151,curitiba,PR
81230,-25.46101366,-49.3416759,curitiba,PR
81200,-25.43422257,-49.32537385,curitiba,PR
81240,-25.47734739,-49.33364471,curitiba,PR
81250,-25.48208066,-49.3399405,curitiba,PR
81200,-25.43836789,-49.34147437,curitiba,PR
81260,-25.48167802,-49.35351218,curitiba,PR
81230,-25.46081114,-49.33803883,curitiba,PR
81200,-25.43481459,-49.33466902,curitiba,PR
81270,-25.45469637,-49.35808807,curitiba,PR
81270,-25.45382224,-49.34369723,curitiba,PR
81200,-25.43290832,-49.34285608,curitiba,PR
81280,-25.44271134,-49.34786211,curitiba,PR
81280,-25.44526538,-49.35550264,curitiba,PR
81280,-25.43530489,-49.35004807,curitiba,PR
81280,-25.44805294,-49.36098558,curitiba,PR
81280,-25.43530489,-49.35004807,curitiba,PR
81200,-25.43668115,-49.32653183,curitiba,PR
81280,-25.44022682,-49.35265618,curitiba,PR
81230,-25.46116596,-49.33422086,curitiba,PR
81280,-25.43783054,-49.36098184,curitiba,PR
81220,-25.45958759,-49.32522295,curitiba,PR
81210,-25.4544735,-49.33832842,curitiba,PR
81220,-25.46032559,-49.32521042,curitiba,PR
81280,-25.43756337,-49.35009571,curitiba,PR
81230,-25.46149797,-49.33422112,curitiba,PR
81250,-25.4823838,-49.3449038,curitiba,PR
81210,-25.44653444,-49.33558621,curitiba,PR
81200,-25.43132075,-49.32999208,curitiba,PR
81230,-25.46521125,-49.34509574,curitiba,PR
81220,-25.46554324,-49.32248498,curitiba,PR
81250,-25.48208066,-49.3399405,curitiba,PR
81220,-25.46641594,-49.32284941,curitiba,PR
81270,-25.45590661,-49.34679045,curitiba,PR
81230,-25.46268098,-49.34400789,curitiba,PR
81200,-25.43682715,-49.32922951,curitiba,PR
81230,-25.45986505,-49.33905097,curitiba,PR
81230,-25.46001729,-49.3289922,curitiba,PR
81230,-25.46434335,-49.33999304,curitiba,PR
81280,-25.44271134,-49.34786211,curitiba,PR
81230,-25.46521125,-49.34509574,curitiba,PR
81200,-25.43875227,-49.33927195,curitiba,PR
81270,-25.45435259,-49.34655763,curitiba,PR
81230,-25.4582803,-49.32795381,curitiba,PR
81280,-25.4351878,-49.35124405,curitiba,PR
81260,-25.47450257,-49.35249258,curitiba,PR
81280,-25.43777923,-49.35508484,curitiba,PR
81200,-25.43697288,-49.33044497,curitiba,PR
81210,-25.44520932,-49.32602165,curitiba,PR
81200,-25.43668115,-49.32653183,curitiba,PR
81290,-25.4505126,-49.36345292,curitiba,PR
81240,-25.47487263,-49.34301801,curitiba,PR
81230,-25.4643299,-49.35365199,curitiba,PR
81200,-25.43541888,-49.32809781,curitiba,PR
81280,-25.44045191,-49.34611464,curitiba,PR
81280,-25.43624129,-49.34955932,curitiba,PR
81230,-25.45941758,-49.33020088,curitiba,PR
81200,-25.43786416,-49.32146829,curitiba,PR
81290,-25.43455031,-49.37223951,curitiba,PR
81290,-25.44190099,-49.36749561,curitiba,PR
81200,-25.44008842,-49.34526605,curitiba,PR
81280,-25.43756337,-49.35009571,curitiba,PR
81240,-25.47487263,-49.34301801,curitiba,PR
81230,-25.46274261,-49.34560831,curitiba,PR
81230,-25.45831884,-49.32782742,curitiba,PR
81230,-25.45899313,-49.34204919,curitiba,PR
